

---

Morgan Wallen                  2 song(s)
John Denver                    2 song(s)
Sting                          2 song(s)
Vance Joy                      2 song(s)
Dire Straits                   2 song(s)
Billy Idol                     2 song(s)
From Ashes to New              2 song(s)
Frank Sinatra                  2 song(s)
Rick Astley                    2 song(s)
UVERworld                      2 song(s)
The Rolling Stones             2 song(s)
Sabrina Carpenter              2 song(s)
Natasha Bedingfield            2 song(s)
Alice Cooper                   2 song(s)
Tina Turner                    2 song(s)
Puddle Of Mudd                 2 song(s)
ASIAN KUNG-FU GENERATION       2 song(s)
X Ambassadors                  2 song(s)
Adele                          2 song(s)
David Meece                    2 song(s)
Iron Maiden                    2 song(s)
RADWIMPS                       2 song(s)
Zedd                           2 song(s)
Thousand Foot Krutch           2 song(s)
Hozier                         2 song(s)
Bachman-Turner Overdrive       2 song(s)
Yelawolf                       2 song(s)
fripSide                       2 song(s)
miwa                           2 song(s)
KANA-BOON                      2 song(s)
ClariS                         2 song(s)
物語シリーズ                         2 song(s)
Cutting Crew                   1 song(s)
Bill Elm & Woody Jackson       1 song(s)
Bill Haley & His Comets        1 song(s)
Pop Evil                       1 song(s)
Five For Fighting              1 song(s)
Bowling For Soup               1 song(s)
Magic System                   1 song(s)
Chayce Beckham                 1 song(s)
真島吾朗(宇垣秀成)                     1 song(s)
Steps                          1 song(s)
Lukas Graham                   1 song(s)
Dolly Parton                   1 song(s)
Shiro SAGISU                   1 song(s)
Ludwig Göransson               1 song(s)
ROSÉ                           1 song(s)
Nine Days                      1 song(s)
Motörhead                      1 song(s)
Billy Ray Cyrus                1 song(s)
Saving Abel                    1 song(s)
Harry Styles                   1 song(s)
Kehlani                        1 song(s)
Michel Teló                    1 song(s)
Marvin Gaye                    1 song(s)
Basshunter                     1 song(s)
Lionel Richie                  1 song(s)
Smash Mouth                    1 song(s)
blink-182                      1 song(s)
Jon Bellion                    1 song(s)
John Legend                    1 song(s)
Don McLean                     1 song(s)
Pink Floyd                     1 song(s)
Blood On The Dance Floor       1 song(s)
Scene Queen                    1 song(s)
Matt Maltese                   1 song(s)
Megan Thee Stallion            1 song(s)
Sir Mix-A-Lot                  1 song(s)
Brian McKnight                 1 song(s)
Mark Wills                     1 song(s)
Lost Frequencies               1 song(s)
Robert Palmer                  1 song(s)
Daniel Powter                  1 song(s)
Sweet                          1 song(s)
Aqua                           1 song(s)
Heart                          1 song(s)
Midnight Oil                   1 song(s)
Carrie Underwood               1 song(s)
Donna                          1 song(s)
American Authors               1 song(s)
Marty Robbins                  1 song(s)
Travie McCoy                   1 song(s)
Adam Turley                    1 song(s)
Ram Jam                        1 song(s)
KT Tunstall                    1 song(s)
Jon Bon Jovi                   1 song(s)
Ramones                        1 song(s)
Cheat Codes                    1 song(s)
Robin Thicke                   1 song(s)
Shinsei Kamattechan            1 song(s)
Vengaboys                      1 song(s)
Matthew Wilder                 1 song(s)
Judas Priest                   1 song(s)
Simon & Garfunkel              1 song(s)
Karmin                         1 song(s)
Van Morrison                   1 song(s)
The Foundations                1 song(s)
Bella Poarch                   1 song(s)
Godsmack                       1 song(s)
*NSYNC                         1 song(s)
EXO                            1 song(s)
Braden Bales                   1 song(s)
Sakurakou K-ON Bu              1 song(s)
DNCE                           1 song(s)
The Mamas & The Papas          1 song(s)
Rema                           1 song(s)
Tombstone                      1 song(s)
Poets of the Fall              1 song(s)
Kansas                         1 song(s)
The J. Geils Band              1 song(s)
Sam Cooke                      1 song(s)
Snow Patrol                    1 song(s)
The High Kings                 1 song(s)
We The Kings                   1 song(s)
OMI                            1 song(s)
Modern Talking                 1 song(s)
System Of A Down               1 song(s)
Mon Rovîa                      1 song(s)
MKTO                           1 song(s)
Maná                           1 song(s)
Saliva                         1 song(s)
Peggy Wood                     1 song(s)
Gracie Abrams                  1 song(s)
The Chainsmokers               1 song(s)
Semisonic                      1 song(s)
Eric Clapton                   1 song(s)
Major Lazer                    1 song(s)
Howie Day                      1 song(s)
Crossfade                      1 song(s)
Dexys Midnight Runners         1 song(s)
Matt Nathanson                 1 song(s)
Nicole Kidman                  1 song(s)
Dirty Money                    1 song(s)
Miami Sound Machine            1 song(s)
Barry Manilow                  1 song(s)
The Struts                     1 song(s)
Mo Pitney                      1 song(s)
Gnarls Barkley                 1 song(s)
Florida Georgia Line           1 song(s)
Quiet Riot                     1 song(s)
dave rodgers                   1 song(s)
Aaron Smith                    1 song(s)
Toploader                      1 song(s)
Mulchatron                     1 song(s)
The Four Seasons               1 song(s)
Luis Fonsi                     1 song(s)
Crash Adams                    1 song(s)
Nita Strauss                   1 song(s)
Chris Brown                    1 song(s)
Jay Sean                       1 song(s)
Snoop Dogg                     1 song(s)
The Irish Rovers               1 song(s)
Bill Lee                       1 song(s)
Stevie Nicks                   1 song(s)
Cabinet                        1 song(s)
Pierce The Veil                1 song(s)
JAY-Z                          1 song(s)
Poison                         1 song(s)
Gary Allan                     1 song(s)
GABRIELLE                      1 song(s)
Lenka                          1 song(s)
Elle King                      1 song(s)
A$AP Rocky                     1 song(s)
The Red Jumpsuit Apparatus     1 song(s)
Secondhand Serenade            1 song(s)
Mary J. Blige                  1 song(s)
Iggy Azalea                    1 song(s)
Walker Hayes                   1 song(s)
Luke Combs                     1 song(s)
